,,Crop,N,P,K,pH,rainfall,temperature
,,cotton,120,40,20,5.34,770.44,28.68
,,jowar,80,40,40,5.5,770.44,28.68
,,maize,80,40,20,5.68,770.44,28.68
,,moong,20,40,20,5.36,770.44,28.68
,,rice,80,40,40,5.42,770.44,28.68
,,sesamum,30,15,30,6.6,770.44,28.68
,,sunflower,50,60,30,5.38,770.44,28.68
,,horsegram,20,60,20,6,98.94,25.574
,,jowar,80,40,40,5.56,98.94,25.574
,,maize,80,40,20,5.48,98.94,25.574
,,moong,20,40,20,5.46,98.94,25.574
,,rice,80,40,40,5.36,98.94,25.574
,,sesamum,30,15,30,6.34,98.94,25.574
,,sunflower,50,60,30,5.38,98.94,25.574
,,wheat,60,30,30,6.11,98.94,25.574
,,rice,80,40,40,5.36,770.44,28.68
,,rice,80,40,40,5.5,98.94,25.574
,,cotton,120,40,20,5.62,770.44,28.68
,,jowar,80,40,40,5.44,770.44,28.68
,,maize,80,40,20,5.64,770.44,28.68
,,moong,20,40,20,5.38,770.44,28.68
,,rice,80,40,40,5.4,770.44,28.68
,,sesamum,30,15,30,6.44,770.44,28.68
,,sunflower,50,60,30,5.48,770.44,28.68
,,horsegram,20,60,20,5.98,98.94,25.574
,,jowar,80,40,40,5.58,98.94,25.574
,,maize,80,40,20,5.54,98.94,25.574
,,rice,80,40,40,5.54,98.94,25.574
,,sesamum,30,15,30,6.36,98.94,25.574
,,wheat,60,30,30,6.6,98.94,25.574
,,cotton,120,40,20,5.4,770.44,28.68
,,horsegram,20,60,20,6.02,770.44,28.68
,,jowar,80,40,40,5.46,770.44,28.68
,,maize,80,40,20,5.6,770.44,28.68
,,moong,20,40,20,5.58,770.44,28.68
,,rice,80,40,40,5.54,770.44,28.68
,,sesamum,30,15,30,6.44,770.44,28.68
,,sunflower,50,60,30,5.32,770.44,28.68
,,horsegram,20,60,20,5.92,98.94,25.574
,,jowar,80,40,40,5.36,98.94,25.574
,,maize,80,40,20,5.48,98.94,25.574
,,moong,20,40,20,5.4,98.94,25.574
,,rice,80,40,40,5.66,98.94,25.574
,,sesamum,30,15,30,6.58,98.94,25.574
,,cotton,120,40,20,5.4,770.44,28.68
,,horsegram,20,60,20,5.86,770.44,28.68
,,jowar,80,40,40,5.58,770.44,28.68
,,maize,80,40,20,5.68,770.44,28.68
,,moong,20,40,20,5.48,770.44,28.68
,,ragi,50,40,20,5.42,770.44,28.68
,,rice,80,40,40,5.42,770.44,28.68
,,sunflower,50,60,30,5.44,770.44,28.68
,,horsegram,20,60,20,6.02,98.94,25.574
,,jowar,80,40,40,5.44,98.94,25.574
,,maize,80,40,20,5.32,98.94,25.574
